model,scope,outlet,fpr_target,generator,year,n,value,band
tfidf,threshold,rte,0.01,,,5533,0.6529311721119845,
tfidf,pre_rate_calibrated,rte,0.01,,,5533,0.010121091632026026,
tfidf,tpr,rte,0.01,claude-opus-4-6,,150,0.88,
tfidf,tpr,rte,0.01,gpt-4.1,,150,0.8733333333333333,
tfidf,tpr,rte,0.01,gpt2-large,,148,0.43243243243243246,
tfidf,tpr,rte,0.01,gptneo-1.3b,,149,0.5973154362416108,
tfidf,tpr,rte,0.01,llama2-7b,,150,0.98,
tfidf,tpr,rte,0.01,mistral-7b,,150,0.9466666666666667,
tfidf,tpr,rte,0.01,qwen2.5-7b,,150,1.0,
tfidf,post_rate,rte,0.01,,post_all,5533,0.021507319718055303,
tfidf,lower_bound,rte,0.01,claude-opus-4-6,post_all,5533,0.013076499679608299,
tfidf,lower_bound,rte,0.01,gpt-4.1,post_all,5533,0.013176320287849584,
tfidf,lower_bound,rte,0.01,gpt2-large,post_all,5533,0.026610676848002886,
tfidf,lower_bound,rte,0.01,gptneo-1.3b,post_all,5533,0.019265063348204943,
tfidf,lower_bound,rte,0.01,llama2-7b,post_all,5533,0.011742162977607452,
tfidf,lower_bound,rte,0.01,mistral-7b,post_all,5533,0.012155619420480953,
tfidf,lower_bound,rte,0.01,qwen2.5-7b,post_all,5533,0.011507319718055303,
tfidf,post_rate,rte,0.01,,2022,68,0.0,
tfidf,lower_bound,rte,0.01,claude-opus-4-6,2022,68,0.0,
tfidf,lower_bound,rte,0.01,gpt-4.1,2022,68,0.0,
tfidf,lower_bound,rte,0.01,gpt2-large,2022,68,0.0,
tfidf,lower_bound,rte,0.01,gptneo-1.3b,2022,68,0.0,
tfidf,lower_bound,rte,0.01,llama2-7b,2022,68,0.0,
tfidf,lower_bound,rte,0.01,mistral-7b,2022,68,0.0,
tfidf,lower_bound,rte,0.01,qwen2.5-7b,2022,68,0.0,
tfidf,post_rate,rte,0.01,,2023,1363,0.01173881144534116,
tfidf,lower_bound,rte,0.01,claude-opus-4-6,2023,1363,0.0019759220969785903,
tfidf,lower_bound,rte,0.01,gpt-4.1,2023,1363,0.0019910054717646865,
tfidf,lower_bound,rte,0.01,gpt2-large,2023,1363,0.004021001467351432,
tfidf,lower_bound,rte,0.01,gptneo-1.3b,2023,1363,0.0029110438804026153,
tfidf,lower_bound,rte,0.01,llama2-7b,2023,1363,0.001774297393205265,
tfidf,lower_bound,rte,0.01,mistral-7b,2023,1363,0.001836772653529394,
tfidf,lower_bound,rte,0.01,qwen2.5-7b,2023,1363,0.0017388114453411596,
tfidf,post_rate,rte,0.01,,2024,1363,0.019809244314013204,
tfidf,lower_bound,rte,0.01,claude-opus-4-6,2024,1363,0.011146868538651369,
tfidf,lower_bound,rte,0.01,gpt-4.1,2024,1363,0.011231959138183058,
tfidf,lower_bound,rte,0.01,gpt2-large,2024,1363,0.022683877476155533,
tfidf,lower_bound,rte,0.01,gptneo-1.3b,2024,1363,0.016422218008853566,
tfidf,lower_bound,rte,0.01,llama2-7b,2024,1363,0.010009432973482862,
tfidf,lower_bound,rte,0.01,mistral-7b,2024,1363,0.010361877796492822,
tfidf,lower_bound,rte,0.01,qwen2.5-7b,2024,1363,0.009809244314013204,
tfidf,post_rate,rte,0.01,,2025,1932,0.026397515527950312,
tfidf,lower_bound,rte,0.01,claude-opus-4-6,2025,1932,0.018633540372670808,
tfidf,lower_bound,rte,0.01,gpt-4.1,2025,1932,0.0187757811388744,
tfidf,lower_bound,rte,0.01,gpt2-large,2025,1932,0.03791925465838509,
tfidf,lower_bound,rte,0.01,gptneo-1.3b,2025,1932,0.027452020378253887,
tfidf,lower_bound,rte,0.01,llama2-7b,2025,1932,0.016732158701990112,
tfidf,lower_bound,rte,0.01,mistral-7b,2025,1932,0.017321319219665822,
tfidf,lower_bound,rte,0.01,qwen2.5-7b,2025,1932,0.01639751552795031,
tfidf,post_rate,rte,0.01,,2026,807,0.030978934324659233,
tfidf,lower_bound,rte,0.01,claude-opus-4-6,2026,807,0.023839698096203676,
tfidf,lower_bound,rte,0.01,gpt-4.1,2026,807,0.024021680524418974,
tfidf,lower_bound,rte,0.01,gpt2-large,2026,807,0.04851378562577448,
tfidf,lower_bound,rte,0.01,gptneo-1.3b,2026,807,0.03512203611656434,
tfidf,lower_bound,rte,0.01,llama2-7b,2026,807,0.021407075841489015,
tfidf,lower_bound,rte,0.01,mistral-7b,2026,807,0.022160846117597784,
tfidf,lower_bound,rte,0.01,qwen2.5-7b,2026,807,0.020978934324659235,
tfidf,threshold,irish_examiner,0.01,,,5533,0.6432389993360469,
tfidf,pre_rate_calibrated,irish_examiner,0.01,,,5533,0.010121091632026026,
tfidf,tpr,irish_examiner,0.01,claude-opus-4-6,,149,0.7583892617449665,
tfidf,tpr,irish_examiner,0.01,gpt-4.1,,150,0.8733333333333333,
tfidf,tpr,irish_examiner,0.01,gpt2-large,,141,0.5035460992907801,
tfidf,tpr,irish_examiner,0.01,gptneo-1.3b,,147,0.6326530612244898,
tfidf,tpr,irish_examiner,0.01,llama2-7b,,149,0.912751677852349,
tfidf,tpr,irish_examiner,0.01,mistral-7b,,150,0.9333333333333333,
tfidf,tpr,irish_examiner,0.01,qwen2.5-7b,,150,0.9666666666666667,
tfidf,post_rate,irish_examiner,0.01,,post_all,5533,0.02006144948490873,
tfidf,lower_bound,irish_examiner,0.01,claude-opus-4-6,post_all,5533,0.0132668670199239,
tfidf,lower_bound,irish_examiner,0.01,gpt-4.1,post_all,5533,0.011520743685009997,
tfidf,lower_bound,irish_examiner,0.01,gpt2-large,post_all,5533,0.019981188413691987,
tfidf,lower_bound,irish_examiner,0.01,gptneo-1.3b,post_all,5533,0.015903581443887992,
tfidf,lower_bound,irish_examiner,0.01,llama2-7b,post_all,5533,0.011023205685672064,
tfidf,lower_bound,irish_examiner,0.01,mistral-7b,post_all,5533,0.010780124448116496,
tfidf,lower_bound,irish_examiner,0.01,qwen2.5-7b,post_all,5533,0.0104083960188711,
tfidf,post_rate,irish_examiner,0.01,,2022,71,0.028169014084507043,
tfidf,lower_bound,irish_examiner,0.01,claude-opus-4-6,2022,71,0.023957372553907518,
tfidf,lower_bound,irish_examiner,0.01,gpt-4.1,2022,71,0.020804214600580587,
tfidf,lower_bound,irish_examiner,0.01,gpt2-large,2022,71,0.03608212656219005,
tfidf,lower_bound,irish_examiner,0.01,gptneo-1.3b,2022,71,0.02871876419809178,
tfidf,lower_bound,irish_examiner,0.01,llama2-7b,2022,71,0.019905758077879043,
tfidf,lower_bound,irish_examiner,0.01,mistral-7b,2022,71,0.019466800804828977,
tfidf,lower_bound,irish_examiner,0.01,qwen2.5-7b,2022,71,0.01879553181155901,
